date,n_events_total,n_events_oil,oil_goldstein_mean,oil_goldstein_std,oil_tone_mean,oil_tone_std,oil_mentions_sum,oil_articles_sum,oil_verbal_coop,oil_material_coop,oil_verbal_conflict,oil_material_conflict,oil_n_conflict_events,oil_conflict_goldstein,oil_conflict_share,oil_material_conflict_share,oil_net_coop,global_goldstein_mean,global_tone_mean
2025-11-28,95567,31129,0.5495678992514538,4.760070578992548,-1.886320315788557,4.130398498771747,315084,306219,18854,3637,3887,4751,4340,-8.069792626728109,0.2774904429952777,0.15262295608596485,0.44501911400944455,0.5364781716964547,-1.852548277269141
2025-11-29,68033,23395,0.5230476597563581,4.751127405439447,-2.0816268323927147,4.11978202746748,230320,223397,14377,2668,2798,3552,3305,-8.10302571860817,0.27142551827313527,0.15182731352853174,0.4571489634537294,0.4563385664726289,-1.98958565073431
2025-11-30,60753,20032,0.39248702076677316,4.8402043571106015,-2.327014901366914,4.041153831292067,188588,184518,12064,2248,2434,3286,3029,-8.199801914823373,0.28554313099041534,0.16403753993610223,0.4289137380191693,0.44182880658436213,-2.044511907610973
2025-12-01,109383,38948,0.5615076512272773,4.734822703231347,-2.0683533116877597,4.1772991504958314,380843,369814,24008,4540,4647,5753,5431,-8.064923586816423,0.26702269692923897,0.14770976686864537,0.465954606141522,0.6094925078395699,-1.9057262373855786
2025-12-02,124206,48186,0.5756028722035446,4.753177293216883,-2.0371281516591453,4.203890237329521,537302,521379,29079,5881,6083,7143,6816,-7.950542840375587,0.2744780641680156,0.1482380774498817,0.4510438716639688,0.6059160735564072,-1.8966380169070167
2025-12-03,129652,51152,0.6328608852048796,4.649678942077056,-1.935080196605767,4.1732784651336425,536660,518877,30733,6565,6376,7478,7095,-7.694038054968287,0.27083984985924303,0.14619174225836723,0.45832030028151394,0.693789528892728,-1.745947569453149
2025-12-04,128862,50809,0.6561219468991712,4.576531586362645,-1.844751479678759,4.1115778215222445,498080,483369,31402,5949,6443,7015,6645,-7.714040632054177,0.2648743332874097,0.13806609065323072,0.47025133342518055,0.7130752277630332,-1.6947569251516823
2025-12-05,115543,45582,0.7369926725461805,4.5229818919656894,-1.6041438696823513,4.273569544457384,495030,477607,28595,5228,5768,5991,5715,-7.673123359580051,0.25797463911193014,0.13143346057654337,0.4840507217761397,0.6897691768432531,-1.5849687431921982
2025-12-06,72592,28719,0.6592847940387897,4.568200605990788,-1.7210149055793427,4.167244106162718,272919,260894,17889,3322,3596,3912,3734,-7.763685056239956,0.2614297155193426,0.13621644207667397,0.4771405689613148,0.546326041437073,-1.871376798748251
2025-12-07,61324,21292,0.6634839376291565,4.616234799761376,-1.7762026003895708,4.177013881568342,190475,185053,13410,2420,2571,2891,2735,-8.065082266910421,0.2565282735299643,0.13577869622393388,0.4869434529400714,0.5720941230187202,-1.826910479216657
2025-12-08,111373,39460,0.8082640648758236,4.580120424915661,-1.6613311655119216,4.2040642720379715,400214,389406,25076,4500,4692,5192,4961,-7.863575891957267,0.2504815002534212,0.13157627977698935,0.4990369994931576,0.6800571054025661,-1.7355956360890095
